Magnitude     N of events   b-value  error-b  a-value  residuals    %%
-0.6              334         0.234   0.0040     2.383     45.76     54.24 
0.1              333         0.375   0.0102     2.560     28.54     71.46 
0.2              330         0.407   0.0118     2.600     26.59     73.41 
0.3              327         0.445   0.0141     2.648     24.16     75.84 
0.4              322         0.487   0.0168     2.703     21.42     78.58 
0.5              317         0.540   0.0205     2.771     17.85     82.15 
0.6              311         0.604   0.0257     2.855     13.48     86.52 
0.7              290         0.651   0.0301     2.918     11.13     88.87 
0.8              267         0.700   0.0355     2.986      8.85     91.15 
0.9              239         0.739   0.0410     3.044      7.44     92.56 
1.0              216         0.797   0.0495     3.131      5.02     94.98 
1.1              178         0.789   0.0522     3.118      6.32     93.68 
1.2              154         0.822   0.0599     3.173      5.31     94.69 
1.3              131         0.847   0.0679     3.219      5.24     94.76 
1.4              107         0.841   0.0726     3.207      6.44     93.56 
1.5               92         0.882   0.0847     3.287      6.48     93.52 
1.6               72         0.843   0.0848     3.206      8.54     91.46 
1.7               65         0.933   0.1080     3.399      6.52     93.48 
1.8               58         1.045   0.1431     3.645      6.30     93.70 
1.9               45         1.031   0.1602     3.613      7.42     92.58 
2.0               33         0.952   0.1603     3.423      7.18     92.82 
2.1               24         0.854   0.1464     3.174     10.05     89.95 
2.2               22         0.965   0.1927     3.466      7.88     92.12 
2.3               17         0.929   0.1978     3.366     10.35     89.65 
2.4               15         1.026   0.2538     3.638      8.90     91.10 
2.5               13         1.141   0.3377     3.965      7.74     92.26 
2.6               11         1.274   0.4680     4.354      9.45     90.55 
2.7                7         1.067   0.4418     3.725      8.35     91.65 
2.8                6         1.184   0.6032     4.095     11.46     88.54 
2.9                4         1.022   0.5994     3.565      8.86     91.14 
3.0                3         0.965   0.6545     3.372     12.52     87.48 
3.2                2         0.965   0.8569     3.389     22.07     77.93 
4.0                1         8.686     NaN    34.744      0.00    100.00 
